Author,Countries
Eric Evans,['United States of America']
Eric Ries,['United States of America']
Erlend Loe,['Norway']
Ernest Cline,['United States of America']
Ernest Hemingway,['United States of America']
Euripides,['Greece']
F. Scott Fitzgerald,['United States of America']
Frank Herbert,['United States of America']
Franz Kafka,['Czech Republic']
Frederick P. Brooks Jr.,['United States of America']
Fredrik Backman,['Sweden']
Fyodor Dostoevsky,['Russia']
Gabriel García Márquez,['Colombia']
Gene Kim,['United States of America']
Geoffrey B. West,['United Kingdom']
George Lakoff,['United States of America']
George Orwell,['United Kingdom']
George R.R. Martin,['United States of America']
Gillian Flynn,['United States of America']
Glenn Bech,['Denmark']
Glenn Cooper,['United States of America']
Glenn Greenwald,['United States of America']
Greg Egan,['Australia']
Guillermo del Toro,['Mexico']
Halfdan Rasmussen,['Denmark']
Hannu Rajaniemi,['Finland']
Hans Rosling,['Sweden']
Hans Scherfig,['Denmark']
Haruki Murakami,['Japan']
Helen Beal,['United Kingdom']
Helle Helle,['Denmark']
Henrik Kniberg,['Sweden']
Henrik Nordbrandt,['Denmark']
Henrik Pontoppidan,['Denmark']
Henry David Thoreau,['United States of America']
Herman Melville,['United States of America']
Hugh Howey,['United States of America']
Håkan Nesser,['Sweden']
Iain Banks,['United Kingdom']
Iain M. Banks,['United Kingdom']
Ian Rankin,['United Kingdom']
Ian Tregillis,['United States of America']
Iben Krarup Høgsberg,['Denmark']
Ida Holmegaard,['Denmark']
Ijeoma Oluo,['United States of America']
Ildefonso Falcones,['Spain']
Inger Christensen,['Denmark']
Isaac Asimov,['United States of America']
Isabel Wilkerson,['United States of America']
J.K. Rowling,['United Kingdom']
J.R.R. Tolkien,['United Kingdom']
Jack Campbell,['United States of America']
James Crumley,['United States of America']
James Joyce,['Republic of Ireland']
James P. Womack,['United States of America']
Jan Guillou,['Sweden']
Jeff Patton,['United States of America']
Jeff Sutherland,['United States of America']
Jeff VanderMeer,['United States of America']
Jennifer Foehner Wells,['United States of America']
Jim Benson,['United States of America']
Jim Butcher,['United States of America']
Jo Nesbø,['Norway']
Joe Abercrombie,['United Kingdom']
Joe Soll,['United States of America']
Johan Harstad,['Norway']
Johann Hari,['United Kingdom']
Johannes V. Jensen,['Denmark']
John Ousterhout,['United States of America']
John Scalzi,['United States of America']
John Steinbeck,['United States of America']
John Twelve Hawks,['United States of America']
John Verdon,['United States of America']
John le Carré,['United Kingdom']
Johnny Cash,['United States of America']
Jonathan Franzen,['United States of America']
Jonathan Renshaw,['United States of America']
Jonathan Safran Foer,['United States of America']
Jonathan Smart,['United Kingdom']
Joseph DiBella,['United States of America']
Jostein Gaarder,['Norway']
Jussi Adler-Olsen,['Denmark']
Karl Ove Knausgård,['Norway']
Karoline Stjernfelt,['Denmark']
Karyl McBride,['United States of America']
Katinka Agger,['Denmark']
Kazuo Ishiguro,"['United Kingdom', 'Japan']"
Ken Follett,['Wales']
Kent Beck,['United States of America']
Kent Haruf,['United States of America']
Kerry Patterson,['United States of America']
Khaled Hosseini,['United States of America']
Kim Blæsbjerg,['Denmark']
Kim Faber,['Denmark']
Kim Leine,['Norway']
Kim Malone Scott,['United States of America']
Kim Stanley Robinson,['United States of America']
Knud Romer,['Denmark']
Knut Hamsun,['Norway']
Kristian Bang Foss,['Denmark']
Kristin Leer,['Norway']
Kristin Vego,['Denmark']
Kurt Vonnegut Jr.,['United States of America']
Kyle Simpson,['United States of America']
Larry Niven,['United States of America']
Lars Kepler,['Denmark']
Lars Tvede,['Denmark']
Laszlo Bock,['United States of America']
Lee Child,['United Kingdom']
Leif Davidsen,['Denmark']
Leigh Bardugo,['United States of America']
Leo Tolstoy,['Russia']
Leonard Richardson,['South Africa']
Linda Babcock,['United States of America']
Liu Cixin,"[""People's Republic of China""]"
Lotte Hammer,['Denmark']
Lotte Palsteen,['Denmark']
Maaza Mengiste,['Ethiopia']
Madeline Miller,['United States of America']
Mai Jia,"[""People's Republic of China""]"
Malcolm Gladwell,['United Kingdom']
Manu Sareen,['Denmark']
Marcel Proust,['France']
Marcus Aurelius,['Italy']
Maren Uthaug,['Norway']
Margaret Atwood,['Canada']
Marianne Iben Hansen,['Denmark']
Marjane Satrapi,"['Iran', 'France']"
Mark Allen Smith,['United Kingdom']
Mark Lawrence,['United States of America']
Mark Schwartz,['United States of America']
Mark Seemann,['Denmark']
Marko Kloos,['Germany']
Martha Wells,['United States of America']
Martin Jensen,['Denmark']
Mary Doria Russell,['United States of America']
Mary Wollstonecraft Shelley,['United Kingdom']
Matias Faldbakken,['Norway']
Matt Ruff,['United States of America']
Matthew Mather,['Canada']
Matthew Skelton,"['United Kingdom', 'Canada']"
Max Barry,['Australia']
Max Brooks,['United States of America']
Michael C. Feathers,['United States of America']
Michael Chabon,['United States of America']
Michael Crichton,['United States of America']
Michael Katz Krefeld,['Denmark']
Michael Lopp,['United States of America']
Michael Scott,['Republic of Ireland']
Michael T. Nygard,['United States of America']
Michael White,['United Kingdom']
Michel Houellebecq,['France']
Michelle Obama,['United States of America']
Mik Kersten,"['Poland', 'Canada']"
Mike Ashley,['United Kingdom']
Mike Rother,['United States of America']
Milan Kundera,['Czech Republic']
Mira Grant,['United States of America']
Mitch Albom,['United States of America']
Mohamed Mbougar Sarr,['Senegal']
Morten Münster,['Denmark']
N.K. Jemisin,['United States of America']
Nassim Nicholas Taleb,"['United States of America', 'Lebanon']"
Neal Stephenson,['United States of America']
Nega Mezlekia,"['Ethiopia', 'Canada']"
Neil Gaiman,['United Kingdom']
Neil deGrasse Tyson,['United States of America']
Nick Harkaway,['United Kingdom']
Nick Hornby,['United Kingdom']
Nick Tune,['United Kingdom']
Nicole Forsgren,['United States of America']
Niels Overgaard,['Denmark']
Niviaq Korneliussen,['Greenland']
Nnedi Okorafor,"['United States of America', 'Nigeria']"
Octavia E. Butler,['United States of America']
Olga Tokarczuk,['Poland']
Oliver Burkeman,['United Kingdom']
Oliver Sacks,['United Kingdom']
Orson Scott Card,['United States of America']
Paolo Bacigalupi,['United States of America']
Patricia Cornwell,['United States of America']
Patrick Lencioni,['United States of America']
Patrick Rothfuss,['United States of America']
Patrick Süskind,['Germany']
Paul Antony Jones,['United Kingdom']
Paul Beatty,['United States of America']
Paul Tremblay,['United States of America']
Paulo Coelho,['Brazil']
Peter Clines,['United States of America']
Peter F. Hamilton,['United Kingdom']
Peter Høeg,['Denmark']
Peter Sestoft,['Denmark']
Peter Watts,['Canada']
Peter Wohlleben,['Germany']
Philip Pullman,['United Kingdom']
Phoebe Robinson,['United States of America']
Pierce Brown,['United States of America']
Pierre Henri Kuaté,['South Africa']
Ray Bradbury,['United States of America']
Raymond E. Feist,['United States of America']
Richard Adams,['United Kingdom']
Richard Phillips,['United States of America']
Richard Sheridan,['United States of America']
Robert C. Martin,['United States of America']
Robert Jordan,['United States of America']
Robert Kirkman,[]
Robert M. Pirsig,['United States of America']
Robert Wilson,['United Kingdom']
Robin DiAngelo,['United States of America']
Robin Hobb,['United States of America']
Roger Fisher,"['United Kingdom', 'United States of America']"
Roy Osherove,['Israel']
Ryk E. Spoor,['United States of America']
S.S. Taylor,['United States of America']
Sakyong Mipham,['India']
Sally Rooney,['Republic of Ireland']
Salman Rushdie,"['United Kingdom', 'United States of America', 'India']"
Sam Kean,['United States of America']
Sam Newman,['United Kingdom']
Scott Chacon,['United States of America']
Scott Jurek,['United States of America']
Sebastian Klein,['Denmark']
Sebastian Lynggard,['Denmark']
Seneca,['Italy']
Seth Godin,['United States of America']
Shelby Van Pelt,['United States of America']
Sherrie Eldridge,['United States of America']
Sherry Turkle,['United States of America']
Sigrid Undset,['Norway']
Simon Sinek,['United Kingdom']
Simon Toyne,['United Kingdom']
Simon Wardley,['United Kingdom']
Simone de Beauvoir,['France']
Siri Pettersen,['Norway']
Sissel-Jo Gazan,['Denmark']
Sofie Hagen,['Denmark']
Stefan Ahnhem,['Sweden']
Stefan Zweig,['Austria']
Stephen King,['United States of America']
Stephen Moss,['United Kingdom']
Stephenie Meyer,['United States of America']
Steve Freeman,"['United Kingdom', 'United States of America']"
Steve Martin,['United States of America']
Steve Niles,['United States of America']
Steven D. Levitt,['United States of America']
Stieg Larsson,['Sweden']
Stine Pilgaard,['Denmark']
Stuart Russell,['United Kingdom']
Susan Cain,['United States of America']
Suzanne Collins,"['United Kingdom', 'United States of America', 'Republic of Ireland']"
Svend Brinkmann,['Denmark']
Søren Sveistrup,['Denmark']
Tamsyn Muir,['New Zealand']
Tara Westover,['United States of America']
Tarjei Vesaas,['Norway']
Taylor Jenkins Reid,['United States of America']
Terry Goodkind,['United States of America']
Terry Mancour,['United States of America']
Terry Pratchett,['United Kingdom']
Thich Nhat Hanh,"['Vietnam', 'France']"
Thomas Clemen,['Denmark']
Thomas Enger,['Norway']
Thomas Korsgaard,['Denmark']
Thomas Mann,['Germany']
Toni Morrison,['United States of America']
Tove Alsterdal,['Sweden']
Trudi Canavan,['Australia']
Umberto Eco,['Italy']
Ursula K. Le Guin,['United States of America']
V.E. Schwab,['United States of America']
Vaughn Heppner,['Canada']
Vaughn Vernon,['United States of America']
Vernor Vinge,['United States of America']
Veronica Roth,['United States of America']
Viktor E. Frankl,['Austria']
Virginia Woolf,['United Kingdom']
Vladik Khononov,['Israel']
Vladimir Nabokov,['Russia']
Walter Isaacson,['United States of America']
Wes McKinney,['United States of America']
Wildbow,['Canada']
William Gibson,['United States of America']
William Golding,['United Kingdom']
William Hertling,['United States of America']
William Peter Blatty,['United States of America']
Yann Martel,['Canada']
Yuval Noah Harari,['Israel']
bell hooks,['United States of America']
Ágota Kristóf,"['Switzerland', 'Hungary']"
Édouard Louis,['France']
