Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10506,The Island of the Day Before,Umberto Eco,"Eco, Umberto",,"=""0156030373""","=""9780156030373""",0,3.49,HarperVia,Paperback,528,2006,1994,,2021/08/03,,,read,,,,1,0
10507,Baudolino,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156029065""","=""9780156029063""",0,3.79,"Harcourt, Inc.",Paperback,527,2003,2000,,2021/08/03,,,read,,,,1,0
17841,Foucault’s Pendulum,Umberto Eco,"Eco, Umberto",William Weaver,"=""015603297X""","=""9780156032971""",5,3.91,Mariner Books,Paperback,623,2007,1988,,2021/08/03,,,read,,,,1,0
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",5,4.17,Viking Canada,Hardcover,480,2008,2005,,2021/08/03,,,read,,,,1,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel","=""""","=""""",4,3.89,Norton,Paperback,464,2002,1847,,2021/08/03,,,read,,,,1,0
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0345538374""","=""9780345538376""",0,4.61,Ballantine Books,Mass Market Paperback,1728,2012,1954,,2021/08/03,,,read,,,,1,0
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",0,3.65,"Little, Brown and Company",Paperback,498,2006,2005,,2021/08/03,,,read,,,,1,0
11588,"The Shining (The Shining, #1)",Stephen King,"King, Stephen",,"=""0450040186""","=""9780450040184""",0,4.27,New English Library (Hodder & Stoughton) ,Paperback,497,1980,1977,,2021/08/03,,,read,,,,1,0
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Rice, Anne",,"=""0345476875""","=""9780345476876""",0,4.02,Ballantine Books,Paperback,346,2004,1976,,2021/08/03,,,read,,,,1,0
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,"=""0140120831""","=""9780140120837""",0,4.04,Penguin Books,Paperback,263,1987,1985,,2021/08/03,,,read,,,,1,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir","=""""","=""""",0,3.96,Vintage,Paperback,255,2001,1925,,2021/08/03,,,read,,,,1,0
59716,To the Lighthouse,Virginia Woolf,"Woolf, Virginia",Eudora Welty,"=""""","=""""",0,3.80,Harvest Books,Paperback,209,1989,1927,,2021/08/03,,,read,,,,1,0
5043,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"Follett, Ken",,"=""""","=""""",5,4.34,NAL Trade,Paperback,976,2002,1989,,2021/08/03,,,read,,,,1,0
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""""","=""""",0,4.35,Doubleday Books,Hardcover,1152,1990,1990,,2021/08/03,,,read,,,,1,0
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan","Michael Henry Heim, Richmond Hoxie","=""0571224385""","=""9780571224388""",5,4.11,Harper Perennial,Paperback,314,2009,1984,,2021/08/03,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""""","=""""",0,3.87,Bantam Classics,Paperback,201,1972,1915,,2021/08/03,,,read,,,,1,0
11127,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""0066238501""","=""9780066238500""",0,4.27,HarperCollins,Paperback,767,2014,1956,,2021/08/03,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2021/08/03,,,read,,,,1,0
13,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"Adams, Douglas",,"=""0345453743""","=""9780345453747""",0,4.38,Del Rey Books,Paperback,815,2002,1996,,2021/08/03,,,read,,,,1,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",4,3.88,Penguin,Paperback,368,1995,1955,,2021/08/03,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.69,Penguin Books ,Paperback,182,1999,1954,,2021/08/03,,,read,,,,1,0
34215764,Remote Control,Nnedi Okorafor,"Okorafor, Nnedi",,"=""""","=""""",4,3.85,Tordotcom,Kindle Edition,156,2021,2021,2021/08/02,2021/07/30,,,read,,,,1,0
50623864,The Invisible Life of Addie LaRue,V.E.  Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",4,4.19,Tor Books,Kindle Edition,448,2020,2020,2021/07/30,2021/07/23,,,read,,,,1,0
9328,The House of the Spirits,Isabel Allende,"Allende, Isabel",Magda Bogin,"=""0553383809""","=""9780553383805""",0,4.28,Dial Press Trade Paperback,Paperback,448,2005,1982,,2021/07/27,to-read,to-read (#147),to-read,,,,0,0
44016314,"One Good Deed (Archer, #1)",David Baldacci,"Baldacci, David",,"=""""","=""""",4,4.11,Grand Central Publishing,Kindle Edition,416,2019,2019,2021/07/21,2021/07/14,,,read,"Jeg har en forkærlighed for god gammeldags hårdtslående krimier og det her et et super godt take på en 2021 udgave af genren, der traditionelt set er ret.. ufeministisk ;)<br/>God underholdning og tjubang med Virginia Woolf-citater, stærke kvinder, et par nuancerede mænd og alle de løgne man kan mase ind i en bog. ",,,1,0
53123699,Meter i sekundet,Stine Pilgaard,"Pilgaard, Stine",,"=""8743400035""","=""9788743400035""",4,3.80,Gutkind,Paperback,268,2020,2020,2021/07/14,2021/07/10,,,read,Underholdende og rørerende og rammende - og hvis man har været i berøring med den danske højskoleverden er der også lidt der ;),,,1,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",5,4.11,Harper,Mass Market Paperback,417,2003,1967,2021/07/10,2021/06/23,,,read,"Et langt bombardement af billeder. Fortryllende, forvirrende og forpustende og nogle gange for meget. <br/>Ofte spændt op mellem besættelse og tragedien på den ene side og en boblende hyldest til liv og lidenskab på den anden.<br/>My kind of book ❤️",,,1,0
40667361,Kort over Canada,Dorthe Nors,"Nors, Dorthe",,"=""""","=""9788702262568""",4,3.37,Gyldendal,Hardcover,137,2018,2018,2021/07/08,2021/06/18,,,read,,,,1,0
7844543,"Min kamp 4 (Min kamp, #4)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""8249507142""","=""9788249507146""",5,4.22,Oktober Forlag,Hardcover,472,2010,2010,2021/01/01,2021/05/21,,,read,"Jeg er langt inde i Knausgårds utroligt store værk nu og det bliver ved med at kunne noget helt særligt. Det er langt. Så utroligt langt. Åh hvor er det bare så fandens langt, altså.<br/>Men det holder :)",,,1,0
7457379,"Min kamp 3 (Min kamp, #3)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""""","=""9788249507061""",5,4.19,Forlaget Oktober AS,Hardcover,422,2009,2009,2021/06/18,2021/05/21,,,read,,,,1,0
13479925,"Min kamp 6 (Min kamp, #6)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""8249507169""","=""9788249507160""",0,4.14,Forlaget Oktober,Hardcover,1116,2011,2011,,2021/05/21,to-read,to-read (#146),to-read,,,,0,0
7429046,"Min kamp 2 (Min kamp, #2)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""""","=""9788249507054""",5,4.33,Forlaget Oktober AS,Hardcover,563,2009,2009,2021/01/01,2021/05/19,,,read,,,,1,0
10984659,alfabet,Inger Christensen,"Christensen, Inger",,"=""""","=""9788700193727""",5,4.35,Gyldendal,Paperback,80,2016,1981,,2021/05/16,,,read,,,,1,0
56878105,Så en morgen,Henrik Nordbrandt,"Nordbrandt, Henrik",,"=""""","=""9788702311853""",4,3.83,Gyldendal,ebook,60,2021,,2021/01/01,2021/05/16,,,read,,,,1,0
7147831,"Min kamp 1 (Min kamp, #1)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""""","=""9788252574586""",5,4.09,Forlaget okober,Hardcover,435,2009,2009,2021/05/03,2021/04/27,,,read,,,,1,0
112537,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""1857231589""","=""9781857231588""",5,4.12,,Paperback,243,2000,1973,2021/04/18,2021/04/14,,,read,,,,1,0
70535,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",5,4.17,Roc,Paperback,297,2000,1968,2021/04/14,2021/04/10,,,read,,,,1,0
44806008,"Dispel Illusion (Impossible Times, #3)",Mark  Lawrence,"Lawrence, Mark",,"=""1542094003""","=""9781542094009""",3,4.23,47North,Kindle Edition,234,2019,2019,2021/04/10,2019/12/27,,,read,,,,1,0
35014179,The Hidden Lives of Trees,Peter Wohlleben,"Wohlleben, Peter",,"=""""","=""""",4,4.07,,,,,2015,2021/04/10,2020/08/04,,,read,,,,1,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",0,4.21,Grand Central Publishing,Paperback,345,2000,1993,,2021/03/20,to-read,to-read (#144),to-read,,,,0,0
9835731,"The Hypnotist (Joona Linna, #1)",Lars Kepler,"Kepler, Lars",Ann Long,"=""0374173958""","=""9780374173951""",2,3.74,Sarah Crichton Books,Hardcover,503,2011,2009,2021/01/01,2021/02/07,,,read,,,,1,0
18332916,Svalens graf,Sissel-Jo Gazan,"Gazan, Sissel-Jo",,"=""""","=""9788702150674""",4,3.91,Gyldendal,Paperback,480,2013,2013,2021/02/07,2021/01/11,,,read,,,,1,0
822,"The Confusion (The Baroque Cycle, #2)",Neal Stephenson,"Stephenson, Neal",,"=""0060733357""","=""9780060733353""",3,4.27,William Morrow Paperbacks,Paperback,815,2005,2004,,2021/01/16,,,read,,,,1,0
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",4,3.93,HarperCollins Perennial,Paperback,927,2004,2003,,2021/01/16,,,read,,,,1,0
53935356,Hvide blomster,Sissel-Jo Gazan,"Gazan, Sissel-Jo",,"=""8740050823""","=""9788740050820""",5,4.18,Politikens Forlag,Paperback,506,2020,2020,2021/01/11,2021/01/08,,,read,,,,1,0
40034476,Kastanjemanden,Søren Sveistrup,"Sveistrup, Søren",,"=""8740024490""","=""9788740024494""",4,4.20,Politiken,Hardcover,523,2018,2019,2021/01/03,2020/12/27,,,read,,,,1,0
50624128,"Satans sommer (En Signe Christiansen og Martin Juncker-krimi, #2)",Kim Faber,"Faber, Kim",Janni Pedersen,"=""8740057925""","=""9788740057928""",4,3.88,Politiken,Hardcover,413,2020,2020,,2020/12/27,,,read,,,,1,0
44296303,"Vinterland (En Signe Christiansen og Martin Juncker-krimi, #1)",Kim Faber,"Faber, Kim",Janni Pedersen,"=""8740050238""","=""9788740050233""",4,3.75,Politikens Forlag ,Hardcover,463,2019,2019,,2020/12/27,,,read,,,,1,0
55350580,"Bobler, bullshit og børsfest",Lars Tvede,"Tvede, Lars",,"=""""","=""9788740064957""",4,3.78,Politikens Forlag,Paperback,224,2020,,,2020/12/02,,,read,,,,1,0
44492286,"Children of Dune (Dune, #3)",Frank Herbert,"Herbert, Frank",,"=""0593098242""","=""9780593098240""",0,3.96,Ace,Paperback,609,2019,1976,,2020/09/10,,,read,,,,1,0
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",0,3.89,Ace,Mass Market Paperback,336,2019,1969,,2020/09/10,,,read,,,,1,0
44526017,Narrative Economics: How Stories Go Viral and Drive Major Economic Events,Robert J. Shiller,"Shiller, Robert J.",,"=""0691182299""","=""9780691182292""",0,3.62,Princeton University Press,Hardcover,400,2019,2019,,2020/08/30,to-read,to-read (#143),to-read,,,,0,0
33297263,The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science for Greater Mindfulness,Culadasa (John Yates),"Yates), Culadasa (John","Matthew Immergut, Jeremy Graves","=""""","=""""",0,4.25,Atria Books,Kindle Edition,796,2017,2015,,2018/09/11,trashed,trashed (#19),trashed,,,,0,0
36064445,Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0241300657""","=""9780241300657""",4,3.90,Allen Lane,Paperback,272,2018,2018,2020/08/12,2020/07/16,,,read,,,,1,0
7930252,How to Read the Air,Dinaw Mengestu,"Mengestu, Dinaw",,"=""1594487707""","=""9781594487705""",4,3.26,Riverhead Books,Hardcover,305,2010,2010,2020/08/12,2020/07/30,,,read,,,,1,0
43236066,"HHV, Frshwn: Dødsknaldet i Amazonas",Hanne Højgaard Viemose,"Viemose, Hanne Højgaard",Leo Scherfig,"=""8702252996""","=""9788702252996""",0,3.67,Gyldendal,ebook,,2019,2019,,2020/08/12,to-read,to-read (#142),to-read,,,,0,0
33080122,"The Calculating Stars (Lady Astronaut Universe, #1)",Mary Robinette Kowal,"Kowal, Mary Robinette",,"=""""","=""""",0,3.96,Tor Books,Paperback,431,2018,2018,,2020/08/12,to-read,to-read (#141),to-read,,,,0,0
